year,NLWhM,NLWhF,NLBlM,NLBlF,NLHispM,NLHispF,NLNAM,NLNAF,NLAsM,NLAsF,NLOthM,NLOthF,AOJWhM,AOJWhF,AOJBlM,AOJBlF,AOJHispM,AOJHispF,AOJNAM,AOJNAF,AOJAsM,AOJAsF,AOJOthM,AOJOthF
2001,14.5,7.3,0.6,0.6,0.5,0.3,0.1,0.0,0.3,0.1,0.0,0.0,41.9,24.0,2.4,2.1,1.8,1.3,0.2,0.1,1.0,1.1,0.0,0.0
2002,14.6,7.3,0.6,0.6,0.5,0.3,0.1,0.0,0.3,0.2,0.0,0.0,41.7,23.7,2.4,2.1,1.9,1.3,0.3,0.2,1.0,1.2,0.0,0.0
2003,14.5,7.0,0.6,0.6,0.5,0.3,0.1,0.1,0.3,0.2,0.0,0.0,41.9,23.5,2.4,2.2,2.0,1.4,0.2,0.2,1.0,1.3,0.0,0.0
2004,14.3,7.0,0.5,0.6,0.6,0.3,0.1,0.1,0.3,0.2,0.0,0.0,41.5,23.6,2.4,2.2,2.1,1.4,0.2,0.2,1.0,1.4,0.0,0.0
2005,14.2,7.2,0.6,0.6,0.5,0.3,0.1,0.1,0.3,0.2,0.0,0.0,41.1,23.4,2.4,2.2,2.1,1.5,0.2,0.2,1.2,1.6,0.0,0.0
2006,14.2,7.4,0.6,0.6,0.6,0.3,0.1,0.1,0.3,0.3,0.0,0.0,40.6,23.1,2.4,2.2,2.3,1.6,0.2,0.2,1.2,1.6,0.0,0.0
2007,14.0,7.1,0.5,0.6,0.6,0.3,0.1,0.1,0.3,0.3,0.0,0.0,41.0,23.5,2.4,2.2,2.2,1.6,0.2,0.2,1.3,1.6,0.0,0.0
2008,14.1,7.3,0.5,0.6,0.6,0.3,0.1,0.1,0.3,0.3,0.0,0.0,40.9,23.2,2.4,2.1,2.2,1.6,0.2,0.2,1.3,1.6,0.0,0.0
2009,14.3,7.3,0.5,0.6,0.6,0.4,0.1,0.1,0.3,0.3,0.0,0.0,41.0,23.3,2.4,2.0,2.2,1.5,0.2,0.1,1.3,1.5,0.0,0.0
2010,14.1,7.0,0.5,0.5,0.6,0.4,0.1,0.0,0.4,0.3,0.0,0.0,41.6,23.5,2.3,1.9,2.3,1.5,0.2,0.2,1.3,1.5,0.0,0.0
2011,14.1,7.3,0.5,0.5,0.6,0.3,0.1,0.0,0.4,0.3,0.0,0.0,41.8,23.3,2.3,1.9,2.2,1.5,0.2,0.2,1.2,1.5,0.0,0.0
2012,14.9,7.4,0.5,0.5,0.5,0.4,0.0,0.0,0.3,0.3,0.0,0.0,41.3,24.1,1.9,1.7,1.8,1.3,0.2,0.1,1.1,1.1,0.1,0.2
2013,14.4,7.3,0.5,0.4,0.5,0.3,0.1,0.0,0.3,0.3,0.0,0.0,42.4,23.6,1.9,1.7,2.0,1.3,0.2,0.1,1.2,1.3,0.1,0.1
2014,14.2,7.5,0.6,0.5,0.6,0.3,0.1,0.0,0.3,0.3,0.1,0.1,41.0,23.7,2.1,1.7,2.1,1.5,0.2,0.1,1.3,1.4,0.2,0.2
2015,13.6,7.4,0.6,0.5,0.6,0.4,0.1,0.0,0.3,0.2,0.1,0.0,41.0,23.7,2.1,2.0,2.2,1.5,0.2,0.1,1.4,1.6,0.2,0.2
2016,14.0,7.9,0.6,0.6,0.7,0.4,0.1,0.0,0.4,0.4,0.1,0.1,38.5,22.6,2.2,1.9,2.4,2.0,0.1,0.1,1.5,2.0,0.1,1.3
