news_id,paper,city_state,coverage_area,hispanic,white,black,american_indian_alaska_native,asian,native_hawaiian_pacific_islander,other,two_or_more,same
284,the star-ledger,"newark, nj",new jersey,20,55.8,15,0.6,9.8,0.1,null,2.2,no
380,reading eagle,"reading, pa","reading, pa",61.2,25.9,9.3,0,0.7,0,0.3,2.4,yes
225,detroit free press,"detriot, mi","detriot, mi",7.7,9.1,79.8,0.3,1.3,0,0.1,1.7,yes
226,the detriot news,"detriot, mi","detriot, mi",7.7,9.1,79.8,0.3,1.3,0,0.1,1.7,yes
389,the providence journal,"providence, ri",rhode island,14.9,73.3,8.1,1,3.6,0.2,null,2.7,no
1771,the morning call,"allentown, pa","allentown, pa",47.1,37.6,10.8,0.1,1.9,0,0.1,2.5,yes
199,the sun,"baltimore, md","baltimore, md",4.6,28.1,62.3,0.2,2.6,0,0.3,1.9,yes
427,dallas morning news,"dallas, tx","dallas, tx",41.7,29.4,24.1,0.1,3,0,0.1,1.5,yes
330,the plain dealer,"cleveland, oh","cleveland, oh",10.5,34.1,50.8,0.2,1.9,0,0.1,2.4,yes
375,the philadelphia inquirer,"philadelphia, pa","philadelphia, pa",13.4,35.8,41.5,0.2,6.8,0,0.3,2,yes
81,new haven register,"new haven, ct","new haven, ct",28.1,31.3,32.5,0.1,5.1,0,0.7,2.2,yes
495,new york daily news,"new york, ny",new york,19,55.8,17.7,1,8.9,0.1,null,2.5,no
192,the times-picayune,"new orleans, la","new orleans, la",5.5,30.8,59,0.2,3,0,0.3,1.3,yes
432,houston chronicle,"houston, tx","houston, tx",43.9,25.5,22.7,0.2,6.4,0,0.2,1.2,yes
1536,york daily record,"york, pa","york county, pa",7.2,84,6.7,0.3,1.5,0.1,null,2.1,no
29,the fresno bee,"fresno, ca","fresno, ca",48.5,28.1,7.5,0.5,12.7,0.2,0.2,2.3,yes
204,the christian science monitor,"boston, ma",united states,17.8,61.3,13.3,1.3,5.7,0.2,null,2.6,no
99,the miami herald,"miami, fl","miami, fl",70.7,11.4,16.4,0.1,0.8,0,0.1,0.5,yes
293,the wall street journal,"new york, ny",united states,17.8,61.3,13.3,1.3,5.7,0.2,null,2.6,no
415,the commercial appeal,"memphis, tn","memphis, tn",6.7,27.3,62.6,0.1,1.8,0,0.2,1.4,yes
34,los angeles time,los angeles,california,38.9,37.7,6.5,1.7,14.8,0.5,null,3.8,no
292,the new york times,"new york, ny",united states,17.8,61.3,13.3,1.3,5.7,0.2,null,2.6,no
455,the virginian-pilot,"norfolk, va","norfolk county, va",7.8,43.7,42.7,0.7,3.7,0.2,null,3.6,no
487,times union,"albany, ny","albany, ny",9.6,51.2,28.3,0.2,7,0.1,0.1,3.5,yes
376,philadelphia daily news,"philadelphia, pa","philadelphia, pa",13.4,35.8,41.5,0.2,6.8,0,0.3,2,yes
135,chicago tribune,"chicago, il","chicago, il",29.1,32.2,30.9,0.1,5.9,0,0.2,1.6,yes
479,milwaukee journal sentinel,"milwaukee, wi","milwaukee, wi",18,36.3,38.9,0.5,3.6,0,0.1,2.7,yes
111,the tampa tribune,"tampa, fl","tampa, fl",23.4,46.1,23.9,0.2,3.7,0.1,0.3,2.2,yes
550,northwest arkansas newspapers llc,"springdale, ar","fayetteville, springdale, rogers, bentonville counties; ar",83.9,265.7,12.4,3.6,18.7,6.9,1.3,7.5,no
308,the fayetteville observer,"fayetteville, nc","fayetteville, nc",,52.5,34.8,0.1,5.4,0.3,0.1,2.1,yes
328,the cincinnati enquirer,"cincinnati, oh","cincinnati, oh",3,49.3,42.7,0.2,2,0,0.3,2.6,yes
