Company,NewsID,Year,male_sup_num,white_sup_num,total_sup_num,male_num,white_num,total_num,maleSupers,whiteSupers,male,white
The Anniston Star,1,2002,6,8,9,27,38,40,66.7%,88.9%,67.5%,95.0%
The Anniston Star,1,2003,4,6,8,22,32,36,50.0%,75.0%,61.1%,88.9%
The Anniston Star,1,2006,4,6,6,23,31,33,66.7%,100.0%,69.7%,93.9%
The Anniston Star,1,2007,6,8,9,27,33,35,66.7%,88.9%,77.1%,94.3%
The Anniston Star,1,2010,5,5,6,17,24,26,83.3%,83.3%,65.4%,92.3%
The Anniston Star,1,2013,4,6,6,16,28,28,66.7%,100.0%,57.1%,100.0%
The Birmingham News,2,2001,22,26,29,98,112,132,75.9%,89.7%,74.2%,84.8%
The Birmingham News,2,2002,20,25,28,97,113,134,71.4%,89.3%,72.4%,84.3%
The Birmingham News,2,2003,15,18,21,88,102,126,71.4%,85.7%,69.8%,81.0%
The Birmingham News,2,2004,17,19,22,92,110,134,77.3%,86.4%,68.7%,82.1%
The Birmingham News,2,2005,17,19,22,92,112,136,77.3%,86.4%,67.6%,82.4%
The Birmingham News,2,2006,16,17,21,96,113,138,76.2%,81.0%,69.6%,81.9%
The Birmingham News,2,2007,21,22,25,90,108,128,84.0%,88.0%,70.3%,84.4%
The Birmingham News,2,2008,21,24,27,84,116,140,77.8%,88.9%,60.0%,82.9%
The Birmingham News,2,2009,19,22,25,89,107,130,76.0%,88.0%,68.5%,82.3%
The Birmingham News,2,2010,15,18,19,83,97,120,78.9%,94.7%,69.2%,80.8%
The Birmingham News,2,2012,17,18,21,74,79,99,81.0%,85.7%,74.7%,79.8%
Birmingham Post-Herald,3,2001,6,8,9,25,39,42,66.7%,88.9%,59.5%,92.9%
Birmingham Post-Herald,3,2002,8,10,11,25,33,36,72.7%,90.9%,69.4%,91.7%
Birmingham Post-Herald,3,2003,6,7,8,25,32,35,75.0%,87.5%,71.4%,91.4%
Birmingham Post-Herald,3,2004,6,9,10,25,32,37,60.0%,90.0%,67.6%,86.5%
Birmingham Post-Herald,3,2005,6,6,7,24,32,36,85.7%,85.7%,66.7%,88.9%
The Decatur Daily,4,2001,7,8,8,22,29,32,87.5%,100.0%,68.8%,90.6%
The Decatur Daily,4,2002,8,9,9,27,32,36,88.9%,100.0%,75.0%,88.9%
The Decatur Daily,4,2003,6,7,7,22,32,36,85.7%,100.0%,61.1%,88.9%
The Decatur Daily,4,2004,6,7,7,24,33,37,85.7%,100.0%,64.9%,89.2%
The Decatur Daily,4,2005,7,8,8,21,32,35,87.5%,100.0%,60.0%,91.4%
The Decatur Daily,4,2006,4,5,5,22,32,35,80.0%,100.0%,62.9%,91.4%
The Decatur Daily,4,2007,7,7,7,25,35,38,100.0%,100.0%,65.8%,92.1%
The Decatur Daily,4,2008,5,7,7,25,36,39,71.4%,100.0%,64.1%,92.3%
The Decatur Daily,4,2009,6,8,8,24,33,37,75.0%,100.0%,64.9%,89.2%
The Decatur Daily,4,2010,3,5,5,19,25,28,60.0%,100.0%,67.9%,89.3%
The Decatur Daily,4,2011,5,5,6,24,28,31,83.3%,83.3%,77.4%,90.3%
The Decatur Daily,4,2012,8,6,10,29,27,36,80.0%,60.0%,80.6%,75.0%
The Decatur Daily,4,2013,6,6,7,27,30,36,85.7%,85.7%,75.0%,83.3%
The Decatur Daily,4,2014,5,6,7,37,45,53,71.4%,85.7%,69.8%,84.9%
The Huntsville Times,5,2001,10,13,15,47,61,66,66.7%,86.7%,71.2%,92.4%
The Huntsville Times,5,2002,14,17,19,59,80,88,73.7%,89.5%,67.0%,90.9%
The Huntsville Times,5,2003,11,14,16,63,85,91,68.8%,87.5%,69.2%,93.4%
The Huntsville Times,5,2004,6,8,10,57,73,80,60.0%,80.0%,71.3%,91.3%
The Huntsville Times,5,2005,9,12,13,54,69,73,69.2%,92.3%,74.0%,94.5%
The Huntsville Times,5,2006,9,10,10,56,68,73,90.0%,100.0%,76.7%,93.2%
The Huntsville Times,5,2007,9,12,13,52,65,71,69.2%,92.3%,73.2%,91.5%
The Huntsville Times,5,2008,9,11,12,57,68,73,75.0%,91.7%,78.1%,93.2%
The Huntsville Times,5,2009,8,10,11,53,66,71,72.7%,90.9%,74.6%,93.0%
The Huntsville Times,5,2013,2,2,3,13,21,24,66.7%,66.7%,54.2%,87.5%
Montgomery Advertiser,6,2001,11,13,18,41,41,60,61.1%,72.2%,68.3%,68.3%
Montgomery Advertiser,6,2003,15,18,22,46,51,66,68.2%,81.8%,69.7%,77.3%
Montgomery Advertiser,6,2005,10,15,19,38,51,65,52.6%,78.9%,58.5%,78.5%
Montgomery Advertiser,6,2006,8,8,11,37,42,61,72.7%,72.7%,60.7%,68.9%
Montgomery Advertiser,6,2007,9,11,16,39,45,61,56.3%,68.8%,63.9%,73.8%
Montgomery Advertiser,6,2008,8,11,17,35,42,56,47.1%,64.7%,62.5%,75.0%
Montgomery Advertiser,6,2009,6,8,12,23,32,43,50.0%,66.7%,53.5%,74.4%
Montgomery Advertiser,6,2010,8,10,13,24,32,41,61.5%,76.9%,58.5%,78.0%
Montgomery Advertiser,6,2011,8,9,12,25,27,36,66.7%,75.0%,69.4%,75.0%
Montgomery Advertiser,6,2012,5,7,10,24,33,40,50.0%,70.0%,60.0%,82.5%
Montgomery Advertiser,6,2013,4,4,7,22,24,32,57.1%,57.1%,68.8%,75.0%
Montgomery Advertiser,6,2014,4,5,5,21,26,30,80.0%,100.0%,70.0%,86.7%
The Tuscaloosa News,8,2001,6,7,9,25,28,35,66.7%,77.8%,71.4%,80.0%
The Tuscaloosa News,8,2002,8,9,11,27,33,37,72.7%,81.8%,73.0%,89.2%
The Tuscaloosa News,8,2004,9,10,12,28,32,40,75.0%,83.3%,70.0%,80.0%
The Tuscaloosa News,8,2005,9,11,12,27,33,39,75.0%,91.7%,69.2%,84.6%
The Tuscaloosa News,8,2006,8,11,12,26,36,41,66.7%,91.7%,63.4%,87.8%
The Tuscaloosa News,8,2007,8,10,11,28,35,40,72.7%,90.9%,70.0%,87.5%
The Tuscaloosa News,8,2008,6,8,10,33,38,43,60.0%,80.0%,76.7%,88.4%
The Tuscaloosa News,8,2009,6,7,8,28,33,37,75.0%,87.5%,75.7%,89.2%
The Tuscaloosa News,8,2010,4,5,6,29,36,39,66.7%,83.3%,74.4%,92.3%
The Tuscaloosa News,8,2011,4,5,6,33,38,41,66.7%,83.3%,80.5%,92.7%
The Tuscaloosa News,8,2012,3,4,5,18,23,26,60.0%,80.0%,69.2%,88.5%
The Gainesville Sun | The Ocala StarBanner,8,2013,13,19,22,64,81,88,59.1%,86.4%,72.7%,92.0%
The Gainesville Sun | The Ocala StarBanner,8,2014,17,24,26,61,87,94,65.4%,92.3%,64.9%,92.6%
Anchorage Daily News,9,2001,14,21,21,56,85,90,66.7%,100.0%,62.2%,94.4%
Anchorage Daily News,9,2002,13,18,18,58,96,101,72.2%,100.0%,57.4%,95.0%
Anchorage Daily News,9,2004,13,20,20,56,82,85,65.0%,100.0%,65.9%,96.5%
Anchorage Daily News,9,2005,10,13,13,58,85,88,76.9%,100.0%,65.9%,96.6%
Anchorage Daily News,9,2006,13,20,20,55,83,84,65.0%,100.0%,65.5%,98.8%
Anchorage Daily News,9,2007,12,17,17,62,91,93,70.6%,100.0%,66.7%,97.8%
Anchorage Daily News,9,2008,15,24,24,59,91,93,62.5%,100.0%,63.4%,97.8%
Anchorage Daily News,9,2009,11,18,18,40,62,65,61.1%,100.0%,61.5%,95.4%
Anchorage Daily News,9,2011,6,7,7,26,36,36,85.7%,100.0%,72.2%,100.0%
Anchorage Daily News,9,2012,5,8,8,23,34,34,62.5%,100.0%,67.6%,100.0%
Anchorage Daily News,9,2013,4,5,5,25,36,36,80.0%,100.0%,69.4%,100.0%
Anchorage Daily News,9,2014,3,6,6,23,36,36,50.0%,100.0%,63.9%,100.0%
The Daily News,11,2004,0,1,1,4,7,7,0.0%,100.0%,57.1%,100.0%
The Daily News,11,2005,0,1,1,5,7,8,0.0%,100.0%,62.5%,87.5%
The Daily News,11,2006,0,1,1,5,8,9,0.0%,100.0%,55.6%,88.9%
The Daily News,11,2008,0,1,1,5,8,8,0.0%,100.0%,62.5%,100.0%
The Daily News,11,2009,0,2,2,5,9,9,0.0%,100.0%,55.6%,100.0%
The Daily News,11,2010,0,2,2,7,11,12,0.0%,100.0%,58.3%,91.7%
The Daily News,11,2012,NULL,1,1,5,8,8,#VALUE!,100.0%,62.5%,100.0%
The Daily News,11,2013,NULL,1,1,6,9,9,#VALUE!,100.0%,66.7%,100.0%
The Arizona Republic,12,2001,37,52,65,192,235,302,56.9%,80.0%,63.6%,77.8%
The Arizona Republic,12,2002,40,56,64,189,234,304,62.5%,87.5%,62.2%,77.0%
The Arizona Republic,12,2003,41,58,69,193,231,304,59.4%,84.1%,63.5%,76.0%
The Arizona Republic,12,2004,44,60,72,198,242,314,61.1%,83.3%,63.1%,77.1%
The Arizona Republic,12,2005,50,66,79,211,257,339,63.3%,83.5%,62.2%,75.8%
The Arizona Republic,12,2006,44,54,70,215,259,346,62.9%,77.1%,62.1%,74.9%
The Arizona Republic,12,2007,54,73,92,236,307,389,58.7%,79.3%,60.7%,78.9%
The Arizona Republic,12,2008,68,80,110,232,302,389,61.8%,72.7%,59.6%,77.6%
The Arizona Republic,12,2010,51,58,80,170,216,289,63.8%,72.5%,58.8%,74.7%
The Arizona Republic,12,2011,54,63,88,171,220,296,61.4%,71.6%,57.8%,74.3%
The Arizona Republic,12,2012,51,64,84,158,218,284,60.7%,76.2%,55.6%,76.8%
The Arizona Republic,12,2014,41,59,79,140,185,243,51.9%,74.7%,57.6%,76.1%
The Arizona Daily Star,15,2001,18,24,29,77,94,125,62.1%,82.8%,61.6%,75.2%
Arizona Daily Star,15,2002,13,21,27,77,94,125,48.1%,77.8%,61.6%,75.2%
Arizona Daily Star,15,2003,15,24,33,79,96,133,45.5%,72.7%,59.4%,72.2%
Arizona Daily Star,15,2004,12,13,19,74,97,126,63.2%,68.4%,58.7%,77.0%
Arizona Daily Star,15,2005,14,19,24,79,100,131,58.3%,79.2%,60.3%,76.3%
Arizona Daily Star,15,2006,16,19,24,82,103,136,66.7%,79.2%,60.3%,75.7%
Arizona Daily Star,15,2007,18,26,33,87,117,154,54.5%,78.8%,56.5%,76.0%
Arizona Daily Star,15,2008,21,31,39,89,121,156,53.8%,79.5%,57.1%,77.6%
Arizona Daily Star,15,2009,6,14,17,69,94,123,35.3%,82.4%,56.1%,76.4%
Arizona Daily Star,15,2011,6,13,17,55,79,103,35.3%,76.5%,53.4%,76.7%
Arizona Daily Star,15,2014,11,15,19,51,63,88,57.9%,78.9%,58.0%,71.6%
Tucson Citizen,16,2001,15,13,17,51,58,74,88.2%,76.5%,68.9%,78.4%
Tucson Citizen,16,2002,9,10,13,47,58,78,69.2%,76.9%,60.3%,74.4%
Tucson Citizen,16,2003,11,12,16,44,56,77,68.8%,75.0%,57.1%,72.7%
Tucson Citizen,16,2004,11,8,13,52,55,78,84.6%,61.5%,66.7%,70.5%
Tucson Citizen,16,2005,9,9,13,50,55,80,69.2%,69.2%,62.5%,68.8%
Tucson Citizen,16,2006,8,10,14,48,57,80,57.1%,71.4%,60.0%,71.3%
Tucson Citizen,16,2007,8,12,17,41,43,67,47.1%,70.6%,61.2%,64.2%
Tucson Citizen,16,2008,10,16,20,39,49,69,50.0%,80.0%,56.5%,71.0%
Tucson Citizen,16,2010,0,0,0,1,2,2,#DIV/0!,#DIV/0!,50.0%,100.0%
The Sun,17,2012,4,5,5,10,20,20,80.0%,100.0%,50.0%,100.0%
The Sun,17,2013,5,5,6,15,21,26,83.3%,83.3%,57.7%,80.8%
Camden News,18,2002,2,3,3,3,6,6,66.7%,100.0%,50.0%,100.0%
Camden News,18,2003,2,2,2,4,5,5,100.0%,100.0%,80.0%,100.0%
Camden News,18,2004,2,2,3,3,5,6,66.7%,66.7%,50.0%,83.3%
