NewsID,Year,white_sup_num,male_sup_num,total_sup_num,white_num,male_num,total_num
1,2002,8,6,9,38,27,40
1,2003,6,4,8,32,22,36
1,2006,6,4,6,31,23,33
1,2007,8,6,9,33,27,37
1,2010,5,5,6,24,17,26
1,2013,6,4,6,28,16,28
1,2015,6,5,6,21,17,21
2,2001,26,22,29,112,98,132
2,2002,25,20,28,113,97,134
2,2003,18,15,21,102,88,126
2,2004,19,17,22,110,92,134
2,2005,19,17,22,112,92,136
2,2006,17,16,21,113,96,138
2,2007,22,21,25,108,90,128
2,2008,24,21,27,116,84,140
2,2009,22,19,25,107,89,130
2,2010,18,15,19,97,83,120
2,2012,18,17,21,79,74,99
3,2001,8,6,9,39,25,42
3,2002,10,8,11,33,25,36
3,2003,7,6,8,32,25,35
3,2004,9,6,10,32,25,37
3,2005,6,6,7,32,24,36
4,2001,8,7,8,29,22,32
4,2002,9,8,9,32,27,36
4,2003,7,6,7,32,22,36
4,2004,7,6,7,33,24,37
4,2005,8,7,8,32,21,35
4,2006,5,4,5,32,22,35
4,2007,7,7,7,35,25,38
4,2008,7,5,7,36,25,39
4,2009,8,6,8,33,24,37
4,2010,5,3,5,25,19,28
4,2011,5,5,6,28,24,31
4,2012,6,8,10,27,29,36
4,2013,6,6,7,30,27,36
4,2014,6,5,7,45,37,53
4,2015,6,5,7,27,20,32
4,2016,6,6,7,24,22,30
5,2001,13,10,15,61,47,66
5,2002,17,14,19,80,59,88
5,2003,14,11,16,85,63,91
5,2004,8,6,10,73,57,80
5,2005,12,9,13,69,54,73
5,2006,10,9,10,68,56,73
5,2007,12,9,13,65,52,71
5,2008,11,9,12,68,57,73
5,2009,10,8,11,66,53,71
5,2013,2,2,3,21,13,24
5,2015,1,0,1,21,13,21
6,2001,13,11,18,41,41,60
6,2003,18,15,22,51,46,66
6,2005,15,10,19,51,38,65
6,2006,8,8,11,42,37,61
6,2007,11,9,16,45,39,61
6,2008,11,8,17,42,35,58
6,2009,8,6,12,32,23,43
6,2010,10,8,13,32,24,41
6,2011,9,8,12,27,25,36
6,2012,7,5,10,33,24,40
6,2013,4,4,7,24,22,32
6,2014,5,4,5,26,21,30
8,2001,7,6,9,28,25,35
8,2002,9,8,11,33,27,37
8,2004,10,9,12,32,28,40
8,2005,11,9,12,33,27,39
8,2006,11,8,12,36,26,41
8,2007,10,8,11,35,28,40
8,2008,8,6,10,38,33,43
8,2009,7,6,8,33,28,37
8,2010,5,4,6,36,29,39
